TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
MIN,Bracey Wright,SG,7,0,19.3,8.9,0.4,2.1,2.6,0.7,0.14,0.0,1.1,1.1,0.6,12.1,3.0,7.3,0.41200000000000003,0.9,2.4,0.353,2.0,2.3,0.88,2.1,4.9,0.441,1.216,0.47
MIN,Mark Blount,C,42,30,27.5,10.2,1.4,3.4,4.8,0.8,0.6,0.95,1.8,3.5,0.4,12.1,4.3,8.4,0.506,0.0,0.0,0.0,1.7,2.3,0.75,4.3,8.4,0.506,1.212,0.51
MIN,Nikoloz Tskitishvili,SF,5,0,2.6,0.6,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,8.5,0.2,0.8,0.25,0.0,0.0,0.0,0.2,0.4,0.5,0.2,0.8,0.25,0.75,0.25
MIN,Justin Reed,SF,40,6,17.7,6.3,1.0,1.4,2.4,0.9,0.45,0.28,0.9,3.0,0.9,7.9,2.4,5.5,0.425,0.0,0.0,0.0,1.6,2.0,0.78,2.4,5.5,0.42700000000000005,1.131,0.43
MIN,Troy Hudson,PG,36,0,22.2,9.5,0.2,1.0,1.2,2.9,0.33,0.11,1.1,1.5,2.7,12.4,3.5,9.3,0.381,1.1,2.8,0.396,1.3,1.4,0.92,2.4,6.5,0.375,1.0270000000000001,0.44
MIN,Rashad McCants,SG,79,12,17.2,7.9,0.4,1.4,1.8,0.8,0.56,0.28,1.1,2.2,0.7,12.6,3.1,6.8,0.45,0.8,2.3,0.37200000000000005,1.0,1.3,0.74,2.3,4.5,0.49,1.172,0.51
MIN,Michael Olowokandi,C,32,24,23.5,6.0,1.4,4.2,5.6,0.5,0.59,0.84,1.3,3.1,0.4,8.3,2.7,6.1,0.446,0.0,0.0,0.0,0.6,1.2,0.49,2.7,6.1,0.446,0.99,0.45
MIN,Ronald Dupree,SF,36,0,7.4,2.2,0.6,0.8,1.4,0.4,0.33,0.0,0.4,1.2,1.0,10.3,0.9,1.8,0.524,0.0,0.0,0.0,0.4,1.1,0.34,0.9,1.8,0.532,1.27,0.52
MIN,Marko Jaric,PG,75,49,28.0,7.8,0.8,2.3,3.1,3.9,1.44,0.28,1.7,2.5,2.3,11.7,3.0,7.5,0.39899999999999997,0.5,1.8,0.301,1.3,1.8,0.69,2.5,5.7,0.43,1.037,0.43
MIN,Marcus Banks,PG,40,28,30.7,12.0,0.5,2.4,2.9,4.7,1.18,0.28,2.4,3.1,2.0,13.7,4.7,9.7,0.479,0.4,1.1,0.364,2.3,2.9,0.78,4.3,8.6,0.494,1.235,0.5
MIN,Anthony Carter,PG,45,8,13.1,3.3,0.2,1.2,1.4,2.2,0.53,0.2,0.9,1.6,2.5,10.6,1.2,3.0,0.387,0.1,0.3,0.267,0.9,1.2,0.73,1.1,2.7,0.402,1.095,0.4
OKC,Damien Wilkins,SG,82,12,18.6,6.5,1.0,1.4,2.3,1.3,0.88,0.15,1.0,1.8,1.3,13.2,2.4,5.3,0.444,0.2,0.7,0.25,1.7,2.0,0.84,2.2,4.6,0.47200000000000003,1.232,0.46
OKC,Chris Wilcox,PF,29,23,30.1,14.1,2.5,5.7,8.2,1.2,0.62,0.45,1.4,2.8,0.9,17.4,5.8,9.7,0.5920000000000001,0.0,0.0,0.0,2.6,3.2,0.79,5.8,9.7,0.5920000000000001,1.4469999999999998,0.59
OKC,Danny Fortson,C,23,1,12.0,3.8,1.3,2.0,3.4,0.1,0.17,0.09,1.1,3.3,0.1,8.6,1.2,2.2,0.529,0.0,0.0,0.0,1.4,1.9,0.77,1.2,2.2,0.529,1.706,0.53
OKC,Ronald Murray,SG,48,2,22.6,9.9,0.4,1.4,1.8,2.5,0.63,0.08,1.6,1.4,1.5,11.6,3.7,9.4,0.397,0.4,1.6,0.22399999999999998,2.1,2.9,0.72,3.3,7.8,0.43200000000000005,1.051,0.42
OKC,Mikki Moore,C,47,1,12.4,3.3,0.9,1.8,2.8,0.6,0.15,0.32,0.9,2.0,0.7,8.6,1.1,2.6,0.435,0.0,0.0,0.0,1.0,1.3,0.74,1.1,2.6,0.44299999999999995,1.242,0.44
OKC,Earl Watson,PG,24,0,25.1,11.5,0.3,2.7,3.0,5.4,1.29,0.13,2.5,2.7,2.1,14.6,4.1,9.5,0.43200000000000005,1.8,4.2,0.42,1.6,2.2,0.73,2.3,5.3,0.441,1.216,0.52
OKC,Mike Wilks,PG,10,0,10.5,4.4,0.3,0.9,1.2,1.4,0.6,0.0,0.9,0.7,1.6,5.7,1.2,3.1,0.387,0.1,0.5,0.2,1.9,2.9,0.66,1.1,2.6,0.423,1.419,0.4
OKC,Noel Felix,F,12,0,6.8,1.5,0.3,0.8,1.1,0.2,0.17,0.25,0.7,1.1,0.3,-1.1,0.5,2.1,0.24,0.1,0.3,0.33299999999999996,0.4,0.7,0.63,0.4,1.8,0.22699999999999998,0.72,0.26
OKC,Rick Brunson,PG,4,0,7.8,2.5,0.0,0.5,0.5,0.5,0.0,0.0,0.8,0.3,0.7,6.3,1.3,2.0,0.625,0.0,0.3,0.0,0.0,0.0,0.0,1.3,1.7,0.7140000000000001,1.25,0.63
OKC,Rashard Lewis,PF,78,77,36.9,20.1,1.4,3.6,5.0,2.3,1.31,0.64,1.8,2.4,1.3,20.0,6.9,14.8,0.467,1.8,4.7,0.384,4.5,5.5,0.82,5.1,10.1,0.507,1.3619999999999999,0.53
OKC,Ray Allen,SG,78,78,38.7,25.1,0.9,3.3,4.3,3.7,1.35,0.21,2.4,1.9,1.5,22.3,8.7,19.2,0.45399999999999996,3.4,8.4,0.41200000000000003,4.2,4.6,0.9,5.3,10.8,0.486,1.3030000000000002,0.54
