TEAM,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
DAL,Michael Finley,SG,69.0,69.0,39.9,20.6,1.3,3.9,5.2,3.3,0.94,0.36,1.7,2.1,2.0,8.2,17.8,0.46299999999999997,1.1,3.2,0.33899999999999997,3.0,3.6,0.84,7.1,14.6,0.491,1.16,0.49
DAL,Dirk Nowitzki,PF,76.0,76.0,38.0,23.4,1.6,8.4,9.9,2.4,1.09,1.01,1.9,2.9,1.3,7.9,16.6,0.47700000000000004,1.8,4.6,0.397,5.8,6.8,0.85,6.1,12.0,0.508,1.4140000000000001,0.53
DAL,Tariq Abdul-Wahad,SF,4.0,0.0,6.0,0.0,0.5,1.0,1.5,0.5,0.5,0.25,0.8,1.3,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0
DAL,Charlie Bell,SG,2.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAL,Donnell Harvey,PF,18.0,0.0,9.0,2.1,0.7,1.9,2.6,0.3,0.22,0.28,0.4,1.5,0.6,0.8,1.4,0.5379999999999999,0.0,0.0,0.0,0.6,1.2,0.45,0.8,1.4,0.5379999999999999,1.462,0.54
DAL,ZhiZhi Wang,C,55.0,0.0,10.9,5.6,0.3,1.7,2.0,0.4,0.2,0.33,0.5,1.5,0.9,2.0,4.5,0.44,0.9,2.1,0.414,0.8,1.0,0.74,1.1,2.4,0.462,1.242,0.54
DAL,Avery Johnson,PG,17.0,0.0,8.9,3.2,0.0,0.3,0.3,1.6,0.29,0.06,0.5,1.0,3.1,1.2,2.9,0.429,0.0,0.0,0.0,0.7,1.0,0.71,1.2,2.9,0.429,1.102,0.43
DAL,Nick Van Exel,PG,27.0,2.0,28.0,13.2,0.3,2.8,3.1,4.2,0.52,0.15,1.5,1.3,2.8,4.8,11.6,0.41100000000000003,1.3,3.6,0.34700000000000003,2.4,2.9,0.84,3.5,8.0,0.44,1.137,0.46
DAL,Juwan Howard,PF,53.0,44.0,31.3,12.9,2.6,4.8,7.4,1.8,0.53,0.57,1.5,3.2,1.2,5.1,11.0,0.462,0.0,0.0,0.0,2.7,3.6,0.75,5.1,11.0,0.462,1.169,0.46
DAL,Johnny Newman,F,47.0,17.0,15.4,4.2,0.2,0.9,1.0,0.3,0.62,0.09,0.4,1.9,0.7,1.4,3.1,0.45299999999999996,0.5,1.2,0.386,0.9,1.2,0.72,0.9,1.9,0.495,1.338,0.53
DAL,Shawn Bradley,C,53.0,16.0,14.3,4.1,1.0,2.3,3.3,0.4,0.53,1.21,0.5,2.4,0.8,1.5,3.1,0.479,0.0,0.0,0.0,1.1,1.2,0.92,1.5,3.1,0.48100000000000004,1.319,0.48
DAL,Evan Eschmeyer,C,31.0,6.0,9.6,2.0,1.1,2.0,3.2,0.3,0.32,0.29,0.5,1.9,0.6,0.7,1.6,0.42,0.0,0.0,0.0,0.6,1.1,0.61,0.7,1.6,0.42,1.24,0.42
HOU,Moochie Norris,PG,82.0,26.0,27.4,8.1,0.9,2.1,3.0,4.9,0.99,0.05,1.9,1.6,2.6,3.1,7.7,0.39799999999999996,0.4,1.6,0.26899999999999996,1.5,2.1,0.75,2.7,6.1,0.433,1.054,0.43
HOU,Kenny Thomas,PF,72.0,71.0,34.5,14.1,2.2,5.0,7.2,1.9,1.18,0.92,2.0,2.7,1.0,5.5,11.5,0.478,0.0,0.2,0.0,3.1,4.7,0.66,5.5,11.3,0.48700000000000004,1.224,0.48
HOU,Oscar Torres,G,65.0,13.0,16.5,6.0,0.7,1.2,1.9,0.6,0.38,0.14,0.8,1.0,0.8,2.1,5.2,0.396,0.6,1.9,0.294,1.3,1.6,0.78,1.5,3.3,0.456,1.141,0.45
HOU,Tierre Brown,PG,40.0,1.0,10.1,3.1,0.3,0.8,1.1,1.8,0.48,0.08,1.0,0.7,1.8,1.2,2.9,0.426,0.1,0.3,0.33299999999999996,0.5,0.7,0.75,1.1,2.6,0.43700000000000006,1.07,0.44
HOU,Eddie Griffin,PF,73.0,24.0,26.0,8.8,1.6,4.1,5.7,0.7,0.23,1.84,0.6,1.6,1.1,3.3,9.1,0.366,1.2,3.7,0.33,0.9,1.2,0.74,2.1,5.4,0.392,0.9640000000000001,0.43
HOU,Kevin Willis,C,52.0,5.0,16.6,6.1,2.0,3.7,5.8,0.3,0.48,0.44,0.8,1.9,0.3,2.4,5.5,0.44,0.0,0.0,0.0,1.3,1.7,0.75,2.4,5.5,0.442,1.109,0.44
HOU,Walt Williams,F,48.0,25.0,23.3,9.4,0.8,2.6,3.4,1.4,0.38,0.21,1.1,2.2,1.3,3.5,8.3,0.419,1.6,3.8,0.426,0.8,1.1,0.78,1.9,4.5,0.413,1.136,0.52
